0.0,27
0.01,32
0.02,51
0.03,51
0.04,51
0.05,51
0.06,51
0.07,51
0.08,51
0.09,52
0.1,53
0.11,77
0.12,77
0.13,77
0.14,78
0.15,80
0.16,120
0.17,131
0.18,141
0.19,149
0.2,156
0.21,162
0.22,168
0.23,173
0.24,180
0.25,186
0.26,193
0.27,198
0.28,204
0.29,208
0.3,212
0.31,216
0.32,220
0.33,222
0.34,224
0.35000000000000003,226
0.36,230
0.37,232
0.38,236
0.39,238
0.4,241
0.41000000000000003,244
0.42,248
0.43,252
0.44,257
0.45,261
0.46,266
0.47000000000000003,270
0.48,274
0.49,279
0.5,283
0.51,287
0.52,292
0.53,296
0.54,300
0.55,305
0.56,310
0.5700000000000001,315
0.58,317
0.59,322
0.6,325
0.61,329
0.62,334
0.63,339
0.64,344
0.65,350
0.66,358
0.67,368
0.68,375
0.6900000000000001,387
0.7000000000000001,396
0.71,406
0.72,417
0.73,429
0.74,444
0.75,463
0.76,487
0.77,517
0.78,546
0.79,578
0.8,622
0.81,650
0.8200000000000001,683
0.8300000000000001,713
0.84,791
0.85,849
0.86,866
0.87,928
0.88,1049
0.89,1244
0.9,1451
0.91,1849
0.92,2086
0.93,2281
0.9400000000000001,2527
0.9500000000000001,2897
0.96,3962
0.97,5372
0.98,7752
0.99,11654
1.0,768685
