0.0,16
0.01,208
0.02,208
0.03,208
0.04,208
0.05,208
0.06,272
0.07,320
0.08,352
0.09,352
0.1,400
0.11,432
0.12,496
0.13,576
0.14,592
0.15,592
0.16,608
0.17,624
0.18,624
0.19,656
0.2,688
0.21,704
0.22,736
0.23,752
0.24,784
0.25,800
0.26,800
0.27,816
0.28,848
0.29,848
0.3,944
0.31,960
0.32,960
0.33,960
0.34,976
0.35000000000000003,1056
0.36,1184
0.37,1184
0.38,1264
0.39,1296
0.4,1296
0.41000000000000003,1312
0.42,1536
0.43,1600
0.44,2064
0.45,2352
0.46,2752
0.47000000000000003,3664
0.48,4368
0.49,5696
0.5,7528
0.51,8176
0.52,8800
0.53,11456
0.54,13248
0.55,16000
0.56,18480
0.5700000000000001,22048
0.58,23568
0.59,25460
0.6,26656
0.61,28928
0.62,33728
0.63,35840
0.64,37936
0.65,42768
0.66,49632
0.67,60032
0.68,74992
0.6900000000000001,87376
0.7000000000000001,97424
0.71,118806
0.72,129573
0.73,166176
0.74,186544
0.75,198160
0.76,209920
0.77,243632
0.78,350640
0.79,499347
0.8,680352
0.81,925696
0.8200000000000001,1085408
0.8300000000000001,1330736
0.84,1535145
0.85,1565392
0.86,1733979
0.87,1926720
0.88,2388608
0.89,2690003
0.9,2821952
0.91,4389609
0.92,5355376
0.93,6182608
0.9400000000000001,7949555
0.9500000000000001,10157376
0.96,10976144
0.97,12577184
0.98,13755757
0.99,15063232
1.0,16608064
